gene_set,shift_from,shift_to,method_a,method_b,method_pair,base_rate_from,base_rate_to,delta_from,delta_to,delta_change,abs_delta_from,abs_delta_to,min_abs_margin,gap_from,gap_to,base_rate_term,calibration_term,reversal,delta_to_hold_g_fixed,reversal_if_only_b_changes,delta_to_hold_b_fixed,reversal_if_only_g_changes,safety_margin,abs_delta_change
immune,all_pairs,tf_sources,genie3,grnboost2,genie3__grnboost2,3.23e-05,0.002006,-0.0010214100000000002,-0.00099612,2.5290000000000078e-05,0.0010214100000000002,0.00099612,0.00099612,-31.62260061919505,-0.49657028913260226,-0.06241352684210528,0.06243881684210527,False,-0.06343493684210527,False,-1.603922033898305e-05,False,0.0010214100000000002,2.5290000000000078e-05
immune,all_pairs,tf_sources,genie3,pearson,genie3__pearson,3.23e-05,0.002006,0.0018554507,-0.00045991,-0.0023153607,0.0018554507,0.00045991,0.00045991,57.44429411764706,-0.22926719840478565,0.11337780330000001,-0.115693164,True,0.11523325400000001,False,-7.405330508474577e-06,True,0.0018554507,0.0023153607
immune,all_pairs,tf_sources,genie3,random,genie3__random,3.23e-05,0.002006,0.0018883394,0.00147533,-0.0004130094000000001,0.0018883394,0.00147533,0.00147533,58.46252012383901,0.7354586241276171,0.11538747596842107,-0.11580048536842107,False,0.11727581536842106,False,2.375531355932203e-05,False,0.0018883394,0.0004130094000000001
immune,all_pairs,tf_sources,genie3,scgpt_attention,genie3__scgpt_attention,3.23e-05,0.002006,0.0018904054,0.00171645,-0.00017395540000000008,0.0018904054,0.00171645,0.00171645,58.52648297213623,0.8556580259222333,0.11551371944210528,-0.11568767484210528,False,0.11740412484210527,False,2.7637754237288134e-05,False,0.0018904054,0.00017395540000000008
immune,all_pairs,tf_sources,genie3,spearman,genie3__spearman,3.23e-05,0.002006,0.0018562751,-0.00037293000000000005,-0.0022292051,0.0018562751,0.00037293000000000005,0.00037293000000000005,57.4698173374613,-0.1859072781655035,0.11342817847894737,-0.11565738357894736,True,0.11528445357894737,False,-6.004805084745763e-06,True,0.0018562751,0.0022292051
immune,all_pairs,tf_sources,grnboost2,pearson,grnboost2__pearson,3.23e-05,0.002006,0.0028768607,0.0005362100000000001,-0.0023406507,0.0028768607,0.0005362100000000001,0.0005362100000000001,89.0668947368421,0.2673030907278166,0.17579133014210527,-0.17813198084210524,False,0.17866819084210525,False,8.633889830508477e-06,False,0.0028768607,0.0023406507
immune,all_pairs,tf_sources,grnboost2,random,grnboost2__random,3.23e-05,0.002006,0.0029097494000000002,0.00247145,-0.0004382994000000002,0.0029097494000000002,0.00247145,0.00247145,90.08512074303407,1.2320289132602193,0.17780100281052635,-0.17823930221052633,False,0.18071075221052635,False,3.979453389830508e-05,False,0.0029097494000000002,0.0004382994000000002
immune,all_pairs,tf_sources,grnboost2,scgpt_attention,grnboost2__scgpt_attention,3.23e-05,0.002006,0.0029118154,0.00271257,-0.00019924539999999994,0.0029118154,0.00271257,0.00271257,90.14908359133128,1.3522283150548355,0.17792724628421056,-0.17812649168421055,False,0.18083906168421054,False,4.3676974576271186e-05,False,0.0029118154,0.00019924539999999994
immune,all_pairs,tf_sources,grnboost2,spearman,grnboost2__spearman,3.23e-05,0.002006,0.0028776851,0.00062319,-0.0022544951,0.0028776851,0.00062319,0.00062319,89.09241795665635,0.3106630109670987,0.17584170532105264,-0.17809620042105262,False,0.17871939042105264,False,1.0034415254237287e-05,False,0.0028776851,0.0022544951
immune,all_pairs,tf_sources,pearson,random,pearson__random,3.23e-05,0.002006,3.2888699999999996e-05,0.00193524,0.0019023513,3.2888699999999996e-05,0.00193524,3.2888699999999996e-05,1.0182260061919504,0.9647258225324028,0.0020096726684210526,-0.00010732136842105241,False,0.0020425613684210524,False,3.116064406779661e-05,False,3.2888699999999996e-05,0.0019023513
